seq,sec,nsec,X,Y,Z
1400,172,359000000,3.964528325182528,-0.2318321573734946,1.6693976091106926
1401,172,459000000,4.001615916448738,-0.2289203774988786,1.668417609110692
1402,172,559000000,4.050888716673825,-0.22069508083796,1.6674376091106915
1403,172,659000000,4.100161516898911,-0.2124697841770413,1.6664576091106913
1404,172,759000000,4.142477684581458,-0.2107974429025617,1.6724342416532414
1405,172,859000000,4.186985007397978,-0.2073376236502266,1.676219719061824
1406,172,959000000,4.233980701439395,-0.2013894331729938,1.6775168252455088
1407,173,59000000,4.282143020972296,-0.1942746172042933,1.6776473059377257
1408,173,159000000,4.330940675816139,-0.1865244659246335,1.6771424513189834
1409,173,259000000,4.380059621927477,-0.1784530233774791,1.6763163054327468
1410,173,359000000,4.429307952866246,-0.1702521960028934,1.675360774719079
1411,173,459000000,4.478573069912039,-0.1620345825212984,1.6743884578984014
1412,173,559000000,4.527810324189643,-0.1538448318078959,1.6734440038459162
1413,173,659000000,4.577005157375783,-0.145697502185956,1.6725419708848936
1414,173,759000000,4.626148098235137,-0.1376020648908024,1.6716918302506572
1415,173,859000000,4.675224195565116,-0.1295734711250226,1.670908533145795
1416,173,959000000,4.724207572203047,-0.1216375980512915,1.670217956732981
1417,174,59000000,4.773056007760984,-0.1138366660575551,1.6696623214001618
1418,174,159000000,4.821704920489306,-0.1062352568934348,1.6693062088969586
1419,174,259000000,4.863763599912878,-0.105471477607845,1.6714395873482353
1420,174,359000000,4.907313354398942,-0.104124073275209,1.6726307821440796
1421,174,459000000,4.95101316301527,-0.1033117494161707,1.6738780734953589
1422,174,559000000,4.994735475492467,-0.1031343987971307,1.6753757872163682
1423,174,659000000,5.038553680732348,-0.1033314430067627,1.6772107792229922
1424,174,759000000,5.082412106208319,-0.1038442776808253,1.6795022730979408
1425,174,859000000,5.126337314905396,-0.1044424175255796,1.6822870130080516
1426,174,959000000,5.171125794229192,-0.1045456574961659,1.6853685417288664
1427,175,59000000,5.21798399609332,-0.1030828397089851,1.6881009706968273
1428,175,159000000,5.266178283195699,-0.0992718299869794,1.6899360597465611
1429,175,258000000,5.314971009449626,-0.0927520706912735,1.6904634749997265
1430,175,359000000,5.364240037843652,-0.084532051958726,1.6894898281440334
1431,175,459000000,5.413512838068739,-0.0763067552978088,1.688509828144033
1432,175,560000000,5.462785638293825,-0.0680814586368915,1.6875298281440323
1433,175,659000000,5.512058438518912,-0.0598561619759743,1.686549828144032
1434,175,759000000,5.561331238743998,-0.051630865315057,1.6855698281440317
1435,175,859000000,5.610604038969084,-0.0434055686541397,1.6845898281440312
1436,175,959000000,5.659876839194171,-0.0351802719932225,1.6836098281440308
1437,176,59000000,5.709149639419257,-0.0269549753323052,1.6826298281440304
